Pretraining EPNet (Epoch [  1/160]) --- Loss: 0.693, AUC: 0.86, AP Score: 0.86
Pretraining EPNet (Epoch [  2/160]) --- Loss: 0.691, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [  3/160]) --- Loss: 0.684, AUC: 0.81, AP Score: 0.80
Pretraining EPNet (Epoch [  4/160]) --- Loss: 0.679, AUC: 0.80, AP Score: 0.79
Pretraining EPNet (Epoch [  5/160]) --- Loss: 0.678, AUC: 0.79, AP Score: 0.79
Pretraining EPNet (Epoch [  6/160]) --- Loss: 0.673, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  7/160]) --- Loss: 0.671, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  8/160]) --- Loss: 0.667, AUC: 0.78, AP Score: 0.80
Pretraining EPNet (Epoch [  9/160]) --- Loss: 0.661, AUC: 0.77, AP Score: 0.80
Pretraining EPNet (Epoch [ 10/160]) --- Loss: 0.655, AUC: 0.77, AP Score: 0.80
Pretraining EPNet (Epoch [ 11/160]) --- Loss: 0.649, AUC: 0.78, AP Score: 0.80
Pretraining EPNet (Epoch [ 12/160]) --- Loss: 0.642, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [ 13/160]) --- Loss: 0.632, AUC: 0.82, AP Score: 0.84
Pretraining EPNet (Epoch [ 14/160]) --- Loss: 0.624, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 15/160]) --- Loss: 0.615, AUC: 0.85, AP Score: 0.86
Pretraining EPNet (Epoch [ 16/160]) --- Loss: 0.608, AUC: 0.85, AP Score: 0.87
Pretraining EPNet (Epoch [ 17/160]) --- Loss: 0.602, AUC: 0.86, AP Score: 0.87
Pretraining EPNet (Epoch [ 18/160]) --- Loss: 0.596, AUC: 0.87, AP Score: 0.87
Pretraining EPNet (Epoch [ 19/160]) --- Loss: 0.592, AUC: 0.87, AP Score: 0.87
Pretraining EPNet (Epoch [ 20/160]) --- Loss: 0.588, AUC: 0.88, AP Score: 0.88
Pretraining EPNet (Epoch [ 21/160]) --- Loss: 0.584, AUC: 0.88, AP Score: 0.88
Pretraining EPNet (Epoch [ 22/160]) --- Loss: 0.581, AUC: 0.89, AP Score: 0.88
Pretraining EPNet (Epoch [ 23/160]) --- Loss: 0.579, AUC: 0.89, AP Score: 0.89
Pretraining EPNet (Epoch [ 24/160]) --- Loss: 0.576, AUC: 0.90, AP Score: 0.89
Pretraining EPNet (Epoch [ 25/160]) --- Loss: 0.573, AUC: 0.90, AP Score: 0.89
Pretraining EPNet (Epoch [ 26/160]) --- Loss: 0.570, AUC: 0.90, AP Score: 0.90
Pretraining EPNet (Epoch [ 27/160]) --- Loss: 0.568, AUC: 0.90, AP Score: 0.90
Pretraining EPNet (Epoch [ 28/160]) --- Loss: 0.565, AUC: 0.91, AP Score: 0.90
Pretraining EPNet (Epoch [ 29/160]) --- Loss: 0.562, AUC: 0.91, AP Score: 0.90
Pretraining EPNet (Epoch [ 30/160]) --- Loss: 0.559, AUC: 0.91, AP Score: 0.90
