Pretraining EPNet (Epoch [  1/195]) --- Loss: 0.693, AUC: 0.86, AP Score: 0.85
Pretraining EPNet (Epoch [  2/195]) --- Loss: 0.691, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [  3/195]) --- Loss: 0.684, AUC: 0.81, AP Score: 0.80
Pretraining EPNet (Epoch [  4/195]) --- Loss: 0.679, AUC: 0.80, AP Score: 0.79
Pretraining EPNet (Epoch [  5/195]) --- Loss: 0.679, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  6/195]) --- Loss: 0.674, AUC: 0.80, AP Score: 0.81
Pretraining EPNet (Epoch [  7/195]) --- Loss: 0.672, AUC: 0.80, AP Score: 0.81
Pretraining EPNet (Epoch [  8/195]) --- Loss: 0.669, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [  9/195]) --- Loss: 0.663, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [ 10/195]) --- Loss: 0.657, AUC: 0.78, AP Score: 0.81
Pretraining EPNet (Epoch [ 11/195]) --- Loss: 0.652, AUC: 0.78, AP Score: 0.81
Pretraining EPNet (Epoch [ 12/195]) --- Loss: 0.645, AUC: 0.79, AP Score: 0.82
Pretraining EPNet (Epoch [ 13/195]) --- Loss: 0.638, AUC: 0.81, AP Score: 0.83
Pretraining EPNet (Epoch [ 14/195]) --- Loss: 0.631, AUC: 0.82, AP Score: 0.84
Pretraining EPNet (Epoch [ 15/195]) --- Loss: 0.624, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 16/195]) --- Loss: 0.617, AUC: 0.85, AP Score: 0.86
Pretraining EPNet (Epoch [ 17/195]) --- Loss: 0.611, AUC: 0.85, AP Score: 0.86
Pretraining EPNet (Epoch [ 18/195]) --- Loss: 0.606, AUC: 0.86, AP Score: 0.87
Pretraining EPNet (Epoch [ 19/195]) --- Loss: 0.601, AUC: 0.87, AP Score: 0.88
Pretraining EPNet (Epoch [ 20/195]) --- Loss: 0.595, AUC: 0.88, AP Score: 0.88
Pretraining EPNet (Epoch [ 21/195]) --- Loss: 0.589, AUC: 0.88, AP Score: 0.89
Pretraining EPNet (Epoch [ 22/195]) --- Loss: 0.584, AUC: 0.89, AP Score: 0.89
Pretraining EPNet (Epoch [ 23/195]) --- Loss: 0.580, AUC: 0.89, AP Score: 0.89
Pretraining EPNet (Epoch [ 24/195]) --- Loss: 0.577, AUC: 0.89, AP Score: 0.89
Pretraining EPNet (Epoch [ 25/195]) --- Loss: 0.574, AUC: 0.89, AP Score: 0.89
Pretraining EPNet (Epoch [ 26/195]) --- Loss: 0.571, AUC: 0.90, AP Score: 0.90
Pretraining EPNet (Epoch [ 27/195]) --- Loss: 0.567, AUC: 0.90, AP Score: 0.90
Pretraining EPNet (Epoch [ 28/195]) --- Loss: 0.564, AUC: 0.90, AP Score: 0.90
Pretraining EPNet (Epoch [ 29/195]) --- Loss: 0.561, AUC: 0.91, AP Score: 0.90
Pretraining EPNet (Epoch [ 30/195]) --- Loss: 0.559, AUC: 0.91, AP Score: 0.91
Pretraining EPNet (Epoch [ 31/195]) --- Loss: 0.556, AUC: 0.91, AP Score: 0.91
Pretraining EPNet (Epoch [ 32/195]) --- Loss: 0.553, AUC: 0.91, AP Score: 0.91
Pretraining EPNet (Epoch [ 33/195]) --- Loss: 0.550, AUC: 0.91, AP Score: 0.91
Pretraining EPNet (Epoch [ 34/195]) --- Loss: 0.547, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [ 35/195]) --- Loss: 0.545, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [ 36/195]) --- Loss: 0.542, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [ 37/195]) --- Loss: 0.540, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [ 38/195]) --- Loss: 0.537, AUC: 0.92, AP Score: 0.92
