Pretraining EPNet (Epoch [  1/150]) --- Loss: 0.693, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [  2/150]) --- Loss: 4.636, AUC: 0.89, AP Score: 0.84
Pretraining EPNet (Epoch [  3/150]) --- Loss: 0.579, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  4/150]) --- Loss: 0.589, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  5/150]) --- Loss: 0.599, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  6/150]) --- Loss: 0.579, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  7/150]) --- Loss: 0.781, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  8/150]) --- Loss: 0.579, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  9/150]) --- Loss: 0.605, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 10/150]) --- Loss: 0.630, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 11/150]) --- Loss: 0.577, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 12/150]) --- Loss: 0.609, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 13/150]) --- Loss: 0.574, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 14/150]) --- Loss: 0.615, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 15/150]) --- Loss: 0.588, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 16/150]) --- Loss: 0.589, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 17/150]) --- Loss: 0.598, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 18/150]) --- Loss: 0.575, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 19/150]) --- Loss: 0.595, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 20/150]) --- Loss: 0.572, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 21/150]) --- Loss: 0.597, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 22/150]) --- Loss: 0.571, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 23/150]) --- Loss: 0.581, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 24/150]) --- Loss: 0.579, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 25/150]) --- Loss: 0.565, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 26/150]) --- Loss: 0.573, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 27/150]) --- Loss: 0.565, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 28/150]) --- Loss: 0.568, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 29/150]) --- Loss: 0.566, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 30/150]) --- Loss: 0.562, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 31/150]) --- Loss: 0.567, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 32/150]) --- Loss: 0.559, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 33/150]) --- Loss: 0.563, AUC: 0.92, AP Score: 0.93
