Pretraining EPNet (Epoch [  1/175]) --- Loss: 0.693, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [  2/175]) --- Loss: 0.692, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [  3/175]) --- Loss: 0.691, AUC: 0.81, AP Score: 0.81
Pretraining EPNet (Epoch [  4/175]) --- Loss: 0.687, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  5/175]) --- Loss: 0.683, AUC: 0.79, AP Score: 0.79
Pretraining EPNet (Epoch [  6/175]) --- Loss: 0.679, AUC: 0.79, AP Score: 0.79
Pretraining EPNet (Epoch [  7/175]) --- Loss: 0.681, AUC: 0.78, AP Score: 0.79
Pretraining EPNet (Epoch [  8/175]) --- Loss: 0.680, AUC: 0.78, AP Score: 0.79
Pretraining EPNet (Epoch [  9/175]) --- Loss: 0.676, AUC: 0.78, AP Score: 0.79
Pretraining EPNet (Epoch [ 10/175]) --- Loss: 0.674, AUC: 0.78, AP Score: 0.79
Pretraining EPNet (Epoch [ 11/175]) --- Loss: 0.673, AUC: 0.77, AP Score: 0.79
Pretraining EPNet (Epoch [ 12/175]) --- Loss: 0.672, AUC: 0.77, AP Score: 0.78
Pretraining EPNet (Epoch [ 13/175]) --- Loss: 0.671, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 14/175]) --- Loss: 0.668, AUC: 0.76, AP Score: 0.77
Pretraining EPNet (Epoch [ 15/175]) --- Loss: 0.665, AUC: 0.76, AP Score: 0.77
Pretraining EPNet (Epoch [ 16/175]) --- Loss: 0.662, AUC: 0.76, AP Score: 0.77
Pretraining EPNet (Epoch [ 17/175]) --- Loss: 0.659, AUC: 0.75, AP Score: 0.77
Pretraining EPNet (Epoch [ 18/175]) --- Loss: 0.657, AUC: 0.76, AP Score: 0.77
Pretraining EPNet (Epoch [ 19/175]) --- Loss: 0.654, AUC: 0.76, AP Score: 0.77
Pretraining EPNet (Epoch [ 20/175]) --- Loss: 0.650, AUC: 0.77, AP Score: 0.78
Pretraining EPNet (Epoch [ 21/175]) --- Loss: 0.646, AUC: 0.78, AP Score: 0.78
Pretraining EPNet (Epoch [ 22/175]) --- Loss: 0.642, AUC: 0.78, AP Score: 0.79
Pretraining EPNet (Epoch [ 23/175]) --- Loss: 0.638, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [ 24/175]) --- Loss: 0.634, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [ 25/175]) --- Loss: 0.630, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [ 26/175]) --- Loss: 0.627, AUC: 0.80, AP Score: 0.81
