Pretraining EPNet (Epoch [  1/245]) --- Loss: 0.690, AUC: 0.68, AP Score: 0.62
Pretraining EPNet (Epoch [  2/245]) --- Loss: 0.673, AUC: 0.79, AP Score: 0.78
Pretraining EPNet (Epoch [  3/245]) --- Loss: 0.646, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  4/245]) --- Loss: 0.626, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  5/245]) --- Loss: 0.640, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  6/245]) --- Loss: 0.633, AUC: 0.80, AP Score: 0.81
Pretraining EPNet (Epoch [  7/245]) --- Loss: 0.621, AUC: 0.81, AP Score: 0.81
Pretraining EPNet (Epoch [  8/245]) --- Loss: 0.619, AUC: 0.82, AP Score: 0.81
Pretraining EPNet (Epoch [  9/245]) --- Loss: 0.623, AUC: 0.82, AP Score: 0.82
Pretraining EPNet (Epoch [ 10/245]) --- Loss: 0.623, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [ 11/245]) --- Loss: 0.620, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [ 12/245]) --- Loss: 0.616, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [ 13/245]) --- Loss: 0.614, AUC: 0.83, AP Score: 0.82
Pretraining EPNet (Epoch [ 14/245]) --- Loss: 0.615, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 15/245]) --- Loss: 0.616, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 16/245]) --- Loss: 0.615, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 17/245]) --- Loss: 0.612, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 18/245]) --- Loss: 0.611, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 19/245]) --- Loss: 0.611, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 20/245]) --- Loss: 0.612, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 21/245]) --- Loss: 0.612, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 22/245]) --- Loss: 0.611, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 23/245]) --- Loss: 0.610, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 24/245]) --- Loss: 0.609, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 25/245]) --- Loss: 0.609, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 26/245]) --- Loss: 0.609, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 27/245]) --- Loss: 0.609, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 28/245]) --- Loss: 0.608, AUC: 0.84, AP Score: 0.83
Pretraining EPNet (Epoch [ 29/245]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 30/245]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 31/245]) --- Loss: 0.608, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 32/245]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 33/245]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 34/245]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 35/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 36/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 37/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 38/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 39/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 40/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 41/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 42/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 43/245]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 44/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 45/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 46/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 47/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 48/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 49/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 50/245]) --- Loss: 0.605, AUC: 0.84, AP Score: 0.84
Pretraining EPNet (Epoch [ 51/245]) --- Loss: 0.605, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 52/245]) --- Loss: 0.605, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 53/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 54/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 55/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 56/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 57/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 58/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 59/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 60/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 61/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 62/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 63/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 64/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 65/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 66/245]) --- Loss: 0.604, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 67/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 68/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 69/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 70/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 71/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 72/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 73/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 74/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 75/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 76/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 77/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 78/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 79/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 80/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 81/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 82/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 83/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 84/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 85/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 86/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 87/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 88/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 89/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 90/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 91/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 92/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 93/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 94/245]) --- Loss: 0.603, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 95/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 96/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 97/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 98/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [ 99/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [100/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [101/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [102/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [103/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [104/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [105/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [106/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [107/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [108/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [109/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [110/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [111/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [112/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [113/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [114/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [115/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.84
Pretraining EPNet (Epoch [116/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [117/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [118/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [119/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [120/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [121/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [122/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [123/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [124/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [125/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
Pretraining EPNet (Epoch [126/245]) --- Loss: 0.602, AUC: 0.85, AP Score: 0.85
