Pretraining EPNet (Epoch [  1/290]) --- Loss: 0.693, AUC: 0.62, AP Score: 0.56
Pretraining EPNet (Epoch [  2/290]) --- Loss: 0.684, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [  3/290]) --- Loss: 0.660, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  4/290]) --- Loss: 0.618, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  5/290]) --- Loss: 0.590, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [  6/290]) --- Loss: 0.597, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [  7/290]) --- Loss: 0.575, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [  8/290]) --- Loss: 0.551, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [  9/290]) --- Loss: 0.542, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 10/290]) --- Loss: 0.539, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 11/290]) --- Loss: 0.533, AUC: 0.92, AP Score: 0.94
Pretraining EPNet (Epoch [ 12/290]) --- Loss: 0.524, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 13/290]) --- Loss: 0.516, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 14/290]) --- Loss: 0.514, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 15/290]) --- Loss: 0.514, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 16/290]) --- Loss: 0.514, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [ 17/290]) --- Loss: 0.511, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 18/290]) --- Loss: 0.507, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 19/290]) --- Loss: 0.505, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [ 20/290]) --- Loss: 0.504, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 21/290]) --- Loss: 0.503, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 22/290]) --- Loss: 0.500, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 23/290]) --- Loss: 0.498, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 24/290]) --- Loss: 0.495, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 25/290]) --- Loss: 0.494, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 26/290]) --- Loss: 0.494, AUC: 0.93, AP Score: 0.95
Pretraining EPNet (Epoch [ 27/290]) --- Loss: 0.494, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 28/290]) --- Loss: 0.494, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 29/290]) --- Loss: 0.492, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 30/290]) --- Loss: 0.491, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 31/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [ 32/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [ 33/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 34/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 35/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 36/290]) --- Loss: 0.489, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 37/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 38/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 39/290]) --- Loss: 0.490, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 40/290]) --- Loss: 0.489, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 41/290]) --- Loss: 0.489, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 42/290]) --- Loss: 0.489, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 43/290]) --- Loss: 0.489, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 44/290]) --- Loss: 0.489, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 45/290]) --- Loss: 0.488, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 46/290]) --- Loss: 0.488, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 47/290]) --- Loss: 0.488, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 48/290]) --- Loss: 0.488, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 49/290]) --- Loss: 0.487, AUC: 0.95, AP Score: 0.95
