Pretraining EPNet (Epoch [  1/5]) --- Loss: 0.676, AUC: 0.77, AP Score: 0.76
Pretraining EPNet (Epoch [  2/5]) --- Loss: 109.679, AUC: 0.50, AP Score: 0.50
Pretraining EPNet (Epoch [  3/5]) --- Loss: 5.960, AUC: 0.74, AP Score: 0.70
Pretraining EPNet (Epoch [  4/5]) --- Loss: 1.293, AUC: 0.74, AP Score: 0.72
Pretraining EPNet (Epoch [  5/5]) --- Loss: 1.278, AUC: 0.75, AP Score: 0.73
Pretraining NCNet (Epoch [  1/235]) --- Loss: 1.797, Val Acc: 0.28
Pretraining NCNet (Epoch [  2/235]) --- Loss: 2.213, Val Acc: 0.18
Pretraining NCNet (Epoch [  3/235]) --- Loss: 1.754, Val Acc: 0.50
Pretraining NCNet (Epoch [  4/235]) --- Loss: 1.580, Val Acc: 0.41
Pretraining NCNet (Epoch [  5/235]) --- Loss: 1.435, Val Acc: 0.40
Pretraining NCNet (Epoch [  6/235]) --- Loss: 1.415, Val Acc: 0.43
Pretraining NCNet (Epoch [  7/235]) --- Loss: 1.322, Val Acc: 0.42
Pretraining NCNet (Epoch [  8/235]) --- Loss: 1.271, Val Acc: 0.55
Pretraining NCNet (Epoch [  9/235]) --- Loss: 1.201, Val Acc: 0.60
Pretraining NCNet (Epoch [ 10/235]) --- Loss: 1.160, Val Acc: 0.58
Pretraining NCNet (Epoch [ 11/235]) --- Loss: 1.099, Val Acc: 0.53
Pretraining NCNet (Epoch [ 12/235]) --- Loss: 1.073, Val Acc: 0.58
Pretraining NCNet (Epoch [ 13/235]) --- Loss: 1.033, Val Acc: 0.62
Pretraining NCNet (Epoch [ 14/235]) --- Loss: 1.009, Val Acc: 0.64
Pretraining NCNet (Epoch [ 15/235]) --- Loss: 0.971, Val Acc: 0.60
Pretraining NCNet (Epoch [ 16/235]) --- Loss: 0.965, Val Acc: 0.62
Pretraining NCNet (Epoch [ 17/235]) --- Loss: 0.937, Val Acc: 0.67
Pretraining NCNet (Epoch [ 18/235]) --- Loss: 0.904, Val Acc: 0.66
Pretraining NCNet (Epoch [ 19/235]) --- Loss: 0.913, Val Acc: 0.64
Pretraining NCNet (Epoch [ 20/235]) --- Loss: 0.878, Val Acc: 0.62
Pretraining NCNet (Epoch [ 21/235]) --- Loss: 0.849, Val Acc: 0.65
Pretraining NCNet (Epoch [ 22/235]) --- Loss: 0.847, Val Acc: 0.68
Pretraining NCNet (Epoch [ 23/235]) --- Loss: 0.824, Val Acc: 0.69
Pretraining NCNet (Epoch [ 24/235]) --- Loss: 0.823, Val Acc: 0.67
Pretraining NCNet (Epoch [ 25/235]) --- Loss: 0.800, Val Acc: 0.65
Pretraining NCNet (Epoch [ 26/235]) --- Loss: 0.803, Val Acc: 0.67
Pretraining NCNet (Epoch [ 27/235]) --- Loss: 0.785, Val Acc: 0.68
Pretraining NCNet (Epoch [ 28/235]) --- Loss: 0.774, Val Acc: 0.69
Pretraining NCNet (Epoch [ 29/235]) --- Loss: 0.781, Val Acc: 0.68
Pretraining NCNet (Epoch [ 30/235]) --- Loss: 0.762, Val Acc: 0.68
Pretraining NCNet (Epoch [ 31/235]) --- Loss: 0.753, Val Acc: 0.69
Pretraining NCNet (Epoch [ 32/235]) --- Loss: 0.761, Val Acc: 0.69
Pretraining NCNet (Epoch [ 33/235]) --- Loss: 0.726, Val Acc: 0.70
Pretraining NCNet (Epoch [ 34/235]) --- Loss: 0.733, Val Acc: 0.70
Pretraining NCNet (Epoch [ 35/235]) --- Loss: 0.723, Val Acc: 0.70
Pretraining NCNet (Epoch [ 36/235]) --- Loss: 0.705, Val Acc: 0.71
Pretraining NCNet (Epoch [ 37/235]) --- Loss: 0.711, Val Acc: 0.71
Pretraining NCNet (Epoch [ 38/235]) --- Loss: 0.698, Val Acc: 0.69
Pretraining NCNet (Epoch [ 39/235]) --- Loss: 0.669, Val Acc: 0.70
Pretraining NCNet (Epoch [ 40/235]) --- Loss: 0.682, Val Acc: 0.70
Pretraining NCNet (Epoch [ 41/235]) --- Loss: 0.679, Val Acc: 0.71
Pretraining NCNet (Epoch [ 42/235]) --- Loss: 0.676, Val Acc: 0.69
Pretraining NCNet (Epoch [ 43/235]) --- Loss: 0.673, Val Acc: 0.71
Pretraining NCNet (Epoch [ 44/235]) --- Loss: 0.652, Val Acc: 0.72
Pretraining NCNet (Epoch [ 45/235]) --- Loss: 0.647, Val Acc: 0.72
Pretraining NCNet (Epoch [ 46/235]) --- Loss: 0.644, Val Acc: 0.71
Pretraining NCNet (Epoch [ 47/235]) --- Loss: 0.639, Val Acc: 0.70
Pretraining NCNet (Epoch [ 48/235]) --- Loss: 0.652, Val Acc: 0.72
Pretraining NCNet (Epoch [ 49/235]) --- Loss: 0.628, Val Acc: 0.73
Pretraining NCNet (Epoch [ 50/235]) --- Loss: 0.628, Val Acc: 0.69
Pretraining NCNet (Epoch [ 51/235]) --- Loss: 0.624, Val Acc: 0.72
Pretraining NCNet (Epoch [ 52/235]) --- Loss: 0.611, Val Acc: 0.72
Pretraining NCNet (Epoch [ 53/235]) --- Loss: 0.624, Val Acc: 0.73
Pretraining NCNet (Epoch [ 54/235]) --- Loss: 0.613, Val Acc: 0.71
Pretraining NCNet (Epoch [ 55/235]) --- Loss: 0.600, Val Acc: 0.71
Pretraining NCNet (Epoch [ 56/235]) --- Loss: 0.600, Val Acc: 0.73
Pretraining NCNet (Epoch [ 57/235]) --- Loss: 0.595, Val Acc: 0.70
Pretraining NCNet (Epoch [ 58/235]) --- Loss: 0.613, Val Acc: 0.69
Pretraining NCNet (Epoch [ 59/235]) --- Loss: 0.611, Val Acc: 0.71
Pretraining NCNet (Epoch [ 60/235]) --- Loss: 0.618, Val Acc: 0.73
Pretraining NCNet (Epoch [ 61/235]) --- Loss: 0.558, Val Acc: 0.69
Pretraining NCNet (Epoch [ 62/235]) --- Loss: 0.602, Val Acc: 0.70
Pretraining NCNet (Epoch [ 63/235]) --- Loss: 0.599, Val Acc: 0.69
Pretraining NCNet (Epoch [ 64/235]) --- Loss: 0.596, Val Acc: 0.72
Pretraining NCNet (Epoch [ 65/235]) --- Loss: 0.573, Val Acc: 0.67
Pretraining NCNet (Epoch [ 66/235]) --- Loss: 0.624, Val Acc: 0.70
Pretraining NCNet (Epoch [ 67/235]) --- Loss: 0.606, Val Acc: 0.71
Pretraining NCNet (Epoch [ 68/235]) --- Loss: 0.573, Val Acc: 0.70
Pretraining NCNet (Epoch [ 69/235]) --- Loss: 0.602, Val Acc: 0.73
Pretraining NCNet (Epoch [ 70/235]) --- Loss: 0.548, Val Acc: 0.70
Pretraining NCNet (Epoch [ 71/235]) --- Loss: 0.580, Val Acc: 0.73
Pretraining NCNet (Epoch [ 72/235]) --- Loss: 0.537, Val Acc: 0.70
Pretraining NCNet (Epoch [ 73/235]) --- Loss: 0.574, Val Acc: 0.72
Pretraining NCNet (Epoch [ 74/235]) --- Loss: 0.547, Val Acc: 0.70
Pretraining NCNet (Epoch [ 75/235]) --- Loss: 0.550, Val Acc: 0.71
Pretraining NCNet (Epoch [ 76/235]) --- Loss: 0.531, Val Acc: 0.72
Pretraining NCNet (Epoch [ 77/235]) --- Loss: 0.575, Val Acc: 0.70
Pretraining NCNet (Epoch [ 78/235]) --- Loss: 0.553, Val Acc: 0.70
Pretraining NCNet (Epoch [ 79/235]) --- Loss: 0.540, Val Acc: 0.69
Pretraining NCNet (Epoch [ 80/235]) --- Loss: 0.549, Val Acc: 0.72
Pretraining NCNet (Epoch [ 81/235]) --- Loss: 0.518, Val Acc: 0.71
Pretraining NCNet (Epoch [ 82/235]) --- Loss: 0.555, Val Acc: 0.74
Pretraining NCNet (Epoch [ 83/235]) --- Loss: 0.502, Val Acc: 0.69
Pretraining NCNet (Epoch [ 84/235]) --- Loss: 0.541, Val Acc: 0.71
Pretraining NCNet (Epoch [ 85/235]) --- Loss: 0.518, Val Acc: 0.72
Pretraining NCNet (Epoch [ 86/235]) --- Loss: 0.517, Val Acc: 0.73
Pretraining NCNet (Epoch [ 87/235]) --- Loss: 0.515, Val Acc: 0.73
Pretraining NCNet (Epoch [ 88/235]) --- Loss: 0.526, Val Acc: 0.72
Pretraining NCNet (Epoch [ 89/235]) --- Loss: 0.500, Val Acc: 0.70
Pretraining NCNet (Epoch [ 90/235]) --- Loss: 0.518, Val Acc: 0.73
Pretraining NCNet (Epoch [ 91/235]) --- Loss: 0.519, Val Acc: 0.72
Pretraining NCNet (Epoch [ 92/235]) --- Loss: 0.513, Val Acc: 0.71
