Pretraining EPNet (Epoch [  1/5]) --- Loss: 0.693, AUC: 0.92, AP Score: 0.92
Pretraining EPNet (Epoch [  2/5]) --- Loss: 5.048, AUC: 0.89, AP Score: 0.84
Pretraining EPNet (Epoch [  3/5]) --- Loss: 0.622, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  4/5]) --- Loss: 0.579, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  5/5]) --- Loss: 0.628, AUC: 0.93, AP Score: 0.93
Pretraining NCNet (Epoch [  1/300]) --- Loss: 2.197, Val Acc: 0.11
Pretraining NCNet (Epoch [  2/300]) --- Loss: 2.148, Val Acc: 0.19
Pretraining NCNet (Epoch [  3/300]) --- Loss: 2.077, Val Acc: 0.37
Pretraining NCNet (Epoch [  4/300]) --- Loss: 2.006, Val Acc: 0.33
Pretraining NCNet (Epoch [  5/300]) --- Loss: 1.931, Val Acc: 0.30
Pretraining NCNet (Epoch [  6/300]) --- Loss: 1.865, Val Acc: 0.35
Pretraining NCNet (Epoch [  7/300]) --- Loss: 1.799, Val Acc: 0.43
Pretraining NCNet (Epoch [  8/300]) --- Loss: 1.740, Val Acc: 0.42
Pretraining NCNet (Epoch [  9/300]) --- Loss: 1.694, Val Acc: 0.45
Pretraining NCNet (Epoch [ 10/300]) --- Loss: 1.641, Val Acc: 0.45
Pretraining NCNet (Epoch [ 11/300]) --- Loss: 1.599, Val Acc: 0.46
Pretraining NCNet (Epoch [ 12/300]) --- Loss: 1.550, Val Acc: 0.45
Pretraining NCNet (Epoch [ 13/300]) --- Loss: 1.527, Val Acc: 0.46
Pretraining NCNet (Epoch [ 14/300]) --- Loss: 1.485, Val Acc: 0.49
Pretraining NCNet (Epoch [ 15/300]) --- Loss: 1.459, Val Acc: 0.51
Pretraining NCNet (Epoch [ 16/300]) --- Loss: 1.433, Val Acc: 0.51
Pretraining NCNet (Epoch [ 17/300]) --- Loss: 1.399, Val Acc: 0.48
Pretraining NCNet (Epoch [ 18/300]) --- Loss: 1.386, Val Acc: 0.49
Pretraining NCNet (Epoch [ 19/300]) --- Loss: 1.358, Val Acc: 0.53
Pretraining NCNet (Epoch [ 20/300]) --- Loss: 1.343, Val Acc: 0.53
Pretraining NCNet (Epoch [ 21/300]) --- Loss: 1.313, Val Acc: 0.52
Pretraining NCNet (Epoch [ 22/300]) --- Loss: 1.299, Val Acc: 0.51
Pretraining NCNet (Epoch [ 23/300]) --- Loss: 1.276, Val Acc: 0.53
Pretraining NCNet (Epoch [ 24/300]) --- Loss: 1.268, Val Acc: 0.53
Pretraining NCNet (Epoch [ 25/300]) --- Loss: 1.268, Val Acc: 0.51
Pretraining NCNet (Epoch [ 26/300]) --- Loss: 1.252, Val Acc: 0.52
Pretraining NCNet (Epoch [ 27/300]) --- Loss: 1.232, Val Acc: 0.54
Pretraining NCNet (Epoch [ 28/300]) --- Loss: 1.205, Val Acc: 0.53
Pretraining NCNet (Epoch [ 29/300]) --- Loss: 1.201, Val Acc: 0.53
Pretraining NCNet (Epoch [ 30/300]) --- Loss: 1.179, Val Acc: 0.54
Pretraining NCNet (Epoch [ 31/300]) --- Loss: 1.163, Val Acc: 0.51
Pretraining NCNet (Epoch [ 32/300]) --- Loss: 1.162, Val Acc: 0.53
Pretraining NCNet (Epoch [ 33/300]) --- Loss: 1.168, Val Acc: 0.54
Pretraining NCNet (Epoch [ 34/300]) --- Loss: 1.128, Val Acc: 0.50
Pretraining NCNet (Epoch [ 35/300]) --- Loss: 1.146, Val Acc: 0.52
Pretraining NCNet (Epoch [ 36/300]) --- Loss: 1.134, Val Acc: 0.55
Pretraining NCNet (Epoch [ 37/300]) --- Loss: 1.108, Val Acc: 0.49
