Pretraining EPNet (Epoch [  1/35]) --- Loss: 0.693, AUC: 0.66, AP Score: 0.59
Pretraining EPNet (Epoch [  2/35]) --- Loss: 0.683, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  3/35]) --- Loss: 0.658, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  4/35]) --- Loss: 0.616, AUC: 0.93, AP Score: 0.93
Pretraining EPNet (Epoch [  5/35]) --- Loss: 0.586, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [  6/35]) --- Loss: 0.596, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [  7/35]) --- Loss: 0.578, AUC: 0.94, AP Score: 0.94
Pretraining EPNet (Epoch [  8/35]) --- Loss: 0.553, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [  9/35]) --- Loss: 0.543, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 10/35]) --- Loss: 0.541, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 11/35]) --- Loss: 0.537, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 12/35]) --- Loss: 0.530, AUC: 0.92, AP Score: 0.94
Pretraining EPNet (Epoch [ 13/35]) --- Loss: 0.522, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 14/35]) --- Loss: 0.516, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 15/35]) --- Loss: 0.515, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 16/35]) --- Loss: 0.516, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 17/35]) --- Loss: 0.516, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 18/35]) --- Loss: 0.514, AUC: 0.92, AP Score: 0.93
Pretraining EPNet (Epoch [ 19/35]) --- Loss: 0.511, AUC: 0.92, AP Score: 0.94
Pretraining EPNet (Epoch [ 20/35]) --- Loss: 0.510, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 21/35]) --- Loss: 0.510, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 22/35]) --- Loss: 0.510, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 23/35]) --- Loss: 0.510, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 24/35]) --- Loss: 0.508, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 25/35]) --- Loss: 0.505, AUC: 0.93, AP Score: 0.94
Pretraining EPNet (Epoch [ 26/35]) --- Loss: 0.502, AUC: 0.93, AP Score: 0.95
Pretraining EPNet (Epoch [ 27/35]) --- Loss: 0.500, AUC: 0.93, AP Score: 0.95
Pretraining EPNet (Epoch [ 28/35]) --- Loss: 0.499, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 29/35]) --- Loss: 0.498, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 30/35]) --- Loss: 0.496, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 31/35]) --- Loss: 0.495, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 32/35]) --- Loss: 0.493, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 33/35]) --- Loss: 0.492, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 34/35]) --- Loss: 0.491, AUC: 0.94, AP Score: 0.95
Pretraining EPNet (Epoch [ 35/35]) --- Loss: 0.491, AUC: 0.94, AP Score: 0.95
Pretraining NCNet (Epoch [  1/115]) --- Loss: 1.388, Val Acc: 0.40
Pretraining NCNet (Epoch [  2/115]) --- Loss: 1.370, Val Acc: 0.43
Pretraining NCNet (Epoch [  3/115]) --- Loss: 1.356, Val Acc: 0.43
Pretraining NCNet (Epoch [  4/115]) --- Loss: 1.337, Val Acc: 0.43
Pretraining NCNet (Epoch [  5/115]) --- Loss: 1.318, Val Acc: 0.42
Pretraining NCNet (Epoch [  6/115]) --- Loss: 1.297, Val Acc: 0.42
Pretraining NCNet (Epoch [  7/115]) --- Loss: 1.274, Val Acc: 0.42
Pretraining NCNet (Epoch [  8/115]) --- Loss: 1.247, Val Acc: 0.42
Pretraining NCNet (Epoch [  9/115]) --- Loss: 1.224, Val Acc: 0.42
Pretraining NCNet (Epoch [ 10/115]) --- Loss: 1.196, Val Acc: 0.42
Pretraining NCNet (Epoch [ 11/115]) --- Loss: 1.165, Val Acc: 0.42
Pretraining NCNet (Epoch [ 12/115]) --- Loss: 1.140, Val Acc: 0.42
Pretraining NCNet (Epoch [ 13/115]) --- Loss: 1.103, Val Acc: 0.42
Pretraining NCNet (Epoch [ 14/115]) --- Loss: 1.083, Val Acc: 0.42
Pretraining NCNet (Epoch [ 15/115]) --- Loss: 1.050, Val Acc: 0.41
Pretraining NCNet (Epoch [ 16/115]) --- Loss: 1.022, Val Acc: 0.42
Pretraining NCNet (Epoch [ 17/115]) --- Loss: 1.007, Val Acc: 0.43
Pretraining NCNet (Epoch [ 18/115]) --- Loss: 0.977, Val Acc: 0.44
Pretraining NCNet (Epoch [ 19/115]) --- Loss: 0.953, Val Acc: 0.45
Pretraining NCNet (Epoch [ 20/115]) --- Loss: 0.934, Val Acc: 0.46
Pretraining NCNet (Epoch [ 21/115]) --- Loss: 0.910, Val Acc: 0.47
Pretraining NCNet (Epoch [ 22/115]) --- Loss: 0.893, Val Acc: 0.48
Pretraining NCNet (Epoch [ 23/115]) --- Loss: 0.877, Val Acc: 0.48
Pretraining NCNet (Epoch [ 24/115]) --- Loss: 0.846, Val Acc: 0.49
Pretraining NCNet (Epoch [ 25/115]) --- Loss: 0.802, Val Acc: 0.50
Pretraining NCNet (Epoch [ 26/115]) --- Loss: 0.803, Val Acc: 0.50
Pretraining NCNet (Epoch [ 27/115]) --- Loss: 0.783, Val Acc: 0.50
Pretraining NCNet (Epoch [ 28/115]) --- Loss: 0.757, Val Acc: 0.50
Pretraining NCNet (Epoch [ 29/115]) --- Loss: 0.747, Val Acc: 0.50
Pretraining NCNet (Epoch [ 30/115]) --- Loss: 0.729, Val Acc: 0.50
Pretraining NCNet (Epoch [ 31/115]) --- Loss: 0.716, Val Acc: 0.51
Pretraining NCNet (Epoch [ 32/115]) --- Loss: 0.704, Val Acc: 0.52
Pretraining NCNet (Epoch [ 33/115]) --- Loss: 0.692, Val Acc: 0.52
Pretraining NCNet (Epoch [ 34/115]) --- Loss: 0.680, Val Acc: 0.52
Pretraining NCNet (Epoch [ 35/115]) --- Loss: 0.659, Val Acc: 0.52
Pretraining NCNet (Epoch [ 36/115]) --- Loss: 0.644, Val Acc: 0.51
Pretraining NCNet (Epoch [ 37/115]) --- Loss: 0.626, Val Acc: 0.51
Pretraining NCNet (Epoch [ 38/115]) --- Loss: 0.602, Val Acc: 0.51
Pretraining NCNet (Epoch [ 39/115]) --- Loss: 0.594, Val Acc: 0.51
Pretraining NCNet (Epoch [ 40/115]) --- Loss: 0.608, Val Acc: 0.51
Pretraining NCNet (Epoch [ 41/115]) --- Loss: 0.577, Val Acc: 0.51
Pretraining NCNet (Epoch [ 42/115]) --- Loss: 0.569, Val Acc: 0.51
Pretraining NCNet (Epoch [ 43/115]) --- Loss: 0.542, Val Acc: 0.50
