Pretraining EPNet (Epoch [  1/290]) --- Loss: 0.693, AUC: 0.76, AP Score: 0.77
Pretraining EPNet (Epoch [  2/290]) --- Loss: 0.692, AUC: 0.79, AP Score: 0.79
Pretraining EPNet (Epoch [  3/290]) --- Loss: 0.688, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  4/290]) --- Loss: 0.682, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  5/290]) --- Loss: 0.678, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [  6/290]) --- Loss: 0.668, AUC: 0.78, AP Score: 0.81
Pretraining EPNet (Epoch [  7/290]) --- Loss: 0.659, AUC: 0.77, AP Score: 0.81
Pretraining EPNet (Epoch [  8/290]) --- Loss: 0.650, AUC: 0.78, AP Score: 0.81
Pretraining EPNet (Epoch [  9/290]) --- Loss: 0.639, AUC: 0.79, AP Score: 0.82
Pretraining EPNet (Epoch [ 10/290]) --- Loss: 0.629, AUC: 0.80, AP Score: 0.82
Pretraining EPNet (Epoch [ 11/290]) --- Loss: 0.623, AUC: 0.80, AP Score: 0.83
Pretraining EPNet (Epoch [ 12/290]) --- Loss: 0.618, AUC: 0.81, AP Score: 0.83
Pretraining EPNet (Epoch [ 13/290]) --- Loss: 0.613, AUC: 0.81, AP Score: 0.83
Pretraining EPNet (Epoch [ 14/290]) --- Loss: 0.608, AUC: 0.81, AP Score: 0.84
Pretraining EPNet (Epoch [ 15/290]) --- Loss: 0.604, AUC: 0.82, AP Score: 0.84
Pretraining EPNet (Epoch [ 16/290]) --- Loss: 0.602, AUC: 0.82, AP Score: 0.84
Pretraining EPNet (Epoch [ 17/290]) --- Loss: 0.599, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 18/290]) --- Loss: 0.597, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 19/290]) --- Loss: 0.596, AUC: 0.82, AP Score: 0.82
Pretraining EPNet (Epoch [ 20/290]) --- Loss: 0.595, AUC: 0.82, AP Score: 0.82
Pretraining EPNet (Epoch [ 21/290]) --- Loss: 0.594, AUC: 0.82, AP Score: 0.82
Pretraining EPNet (Epoch [ 22/290]) --- Loss: 0.593, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 23/290]) --- Loss: 0.592, AUC: 0.83, AP Score: 0.83
Pretraining EPNet (Epoch [ 24/290]) --- Loss: 0.591, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 25/290]) --- Loss: 0.590, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 26/290]) --- Loss: 0.589, AUC: 0.85, AP Score: 0.86
Pretraining EPNet (Epoch [ 27/290]) --- Loss: 0.588, AUC: 0.85, AP Score: 0.86
Pretraining EPNet (Epoch [ 28/290]) --- Loss: 0.587, AUC: 0.86, AP Score: 0.87
Pretraining EPNet (Epoch [ 29/290]) --- Loss: 0.585, AUC: 0.86, AP Score: 0.87
Pretraining EPNet (Epoch [ 30/290]) --- Loss: 0.584, AUC: 0.87, AP Score: 0.88
Pretraining EPNet (Epoch [ 31/290]) --- Loss: 0.582, AUC: 0.88, AP Score: 0.88
Pretraining EPNet (Epoch [ 32/290]) --- Loss: 0.580, AUC: 0.88, AP Score: 0.89
Pretraining EPNet (Epoch [ 33/290]) --- Loss: 0.577, AUC: 0.89, AP Score: 0.89
Pretraining EPNet (Epoch [ 34/290]) --- Loss: 0.574, AUC: 0.89, AP Score: 0.89
