Pretraining EPNet (Epoch [  1/5]) --- Loss: 0.693, AUC: 0.57, AP Score: 0.53
Pretraining EPNet (Epoch [  2/5]) --- Loss: 0.690, AUC: 0.86, AP Score: 0.84
Pretraining EPNet (Epoch [  3/5]) --- Loss: 0.683, AUC: 0.90, AP Score: 0.89
Pretraining EPNet (Epoch [  4/5]) --- Loss: 0.672, AUC: 0.91, AP Score: 0.90
Pretraining EPNet (Epoch [  5/5]) --- Loss: 0.655, AUC: 0.92, AP Score: 0.91
Pretraining NCNet (Epoch [  1/275]) --- Loss: 1.389, Val Acc: 0.29
Pretraining NCNet (Epoch [  2/275]) --- Loss: 1.390, Val Acc: 0.30
Pretraining NCNet (Epoch [  3/275]) --- Loss: 1.370, Val Acc: 0.32
Pretraining NCNet (Epoch [  4/275]) --- Loss: 1.372, Val Acc: 0.32
Pretraining NCNet (Epoch [  5/275]) --- Loss: 1.378, Val Acc: 0.32
Pretraining NCNet (Epoch [  6/275]) --- Loss: 1.358, Val Acc: 0.32
Pretraining NCNet (Epoch [  7/275]) --- Loss: 1.362, Val Acc: 0.31
Pretraining NCNet (Epoch [  8/275]) --- Loss: 1.334, Val Acc: 0.31
Pretraining NCNet (Epoch [  9/275]) --- Loss: 1.334, Val Acc: 0.32
Pretraining NCNet (Epoch [ 10/275]) --- Loss: 1.343, Val Acc: 0.32
Pretraining NCNet (Epoch [ 11/275]) --- Loss: 1.332, Val Acc: 0.33
Pretraining NCNet (Epoch [ 12/275]) --- Loss: 1.321, Val Acc: 0.36
Pretraining NCNet (Epoch [ 13/275]) --- Loss: 1.337, Val Acc: 0.37
Pretraining NCNet (Epoch [ 14/275]) --- Loss: 1.318, Val Acc: 0.37
Pretraining NCNet (Epoch [ 15/275]) --- Loss: 1.279, Val Acc: 0.38
Pretraining NCNet (Epoch [ 16/275]) --- Loss: 1.286, Val Acc: 0.38
Pretraining NCNet (Epoch [ 17/275]) --- Loss: 1.285, Val Acc: 0.39
Pretraining NCNet (Epoch [ 18/275]) --- Loss: 1.291, Val Acc: 0.38
Pretraining NCNet (Epoch [ 19/275]) --- Loss: 1.262, Val Acc: 0.39
Pretraining NCNet (Epoch [ 20/275]) --- Loss: 1.261, Val Acc: 0.38
Pretraining NCNet (Epoch [ 21/275]) --- Loss: 1.233, Val Acc: 0.39
Pretraining NCNet (Epoch [ 22/275]) --- Loss: 1.227, Val Acc: 0.40
Pretraining NCNet (Epoch [ 23/275]) --- Loss: 1.224, Val Acc: 0.40
Pretraining NCNet (Epoch [ 24/275]) --- Loss: 1.216, Val Acc: 0.40
Pretraining NCNet (Epoch [ 25/275]) --- Loss: 1.200, Val Acc: 0.41
Pretraining NCNet (Epoch [ 26/275]) --- Loss: 1.179, Val Acc: 0.41
Pretraining NCNet (Epoch [ 27/275]) --- Loss: 1.171, Val Acc: 0.42
Pretraining NCNet (Epoch [ 28/275]) --- Loss: 1.147, Val Acc: 0.42
Pretraining NCNet (Epoch [ 29/275]) --- Loss: 1.141, Val Acc: 0.43
Pretraining NCNet (Epoch [ 30/275]) --- Loss: 1.145, Val Acc: 0.45
Pretraining NCNet (Epoch [ 31/275]) --- Loss: 1.127, Val Acc: 0.44
Pretraining NCNet (Epoch [ 32/275]) --- Loss: 1.177, Val Acc: 0.44
Pretraining NCNet (Epoch [ 33/275]) --- Loss: 1.156, Val Acc: 0.44
Pretraining NCNet (Epoch [ 34/275]) --- Loss: 1.131, Val Acc: 0.45
Pretraining NCNet (Epoch [ 35/275]) --- Loss: 1.113, Val Acc: 0.45
Pretraining NCNet (Epoch [ 36/275]) --- Loss: 1.097, Val Acc: 0.45
Pretraining NCNet (Epoch [ 37/275]) --- Loss: 1.060, Val Acc: 0.44
Pretraining NCNet (Epoch [ 38/275]) --- Loss: 1.032, Val Acc: 0.44
Pretraining NCNet (Epoch [ 39/275]) --- Loss: 1.095, Val Acc: 0.43
