Pretraining EPNet (Epoch [  1/210]) --- Loss: 0.693, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  2/210]) --- Loss: 0.693, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [  3/210]) --- Loss: 0.692, AUC: 0.82, AP Score: 0.82
Pretraining EPNet (Epoch [  4/210]) --- Loss: 0.690, AUC: 0.81, AP Score: 0.82
Pretraining EPNet (Epoch [  5/210]) --- Loss: 0.687, AUC: 0.80, AP Score: 0.81
Pretraining EPNet (Epoch [  6/210]) --- Loss: 0.683, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [  7/210]) --- Loss: 0.680, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [  8/210]) --- Loss: 0.677, AUC: 0.78, AP Score: 0.80
Pretraining EPNet (Epoch [  9/210]) --- Loss: 0.673, AUC: 0.77, AP Score: 0.80
Pretraining EPNet (Epoch [ 10/210]) --- Loss: 0.668, AUC: 0.76, AP Score: 0.80
Pretraining EPNet (Epoch [ 11/210]) --- Loss: 0.662, AUC: 0.75, AP Score: 0.79
Pretraining EPNet (Epoch [ 12/210]) --- Loss: 0.656, AUC: 0.75, AP Score: 0.79
Pretraining EPNet (Epoch [ 13/210]) --- Loss: 0.650, AUC: 0.75, AP Score: 0.79
Pretraining EPNet (Epoch [ 14/210]) --- Loss: 0.644, AUC: 0.75, AP Score: 0.79
Pretraining EPNet (Epoch [ 15/210]) --- Loss: 0.639, AUC: 0.75, AP Score: 0.79
Pretraining EPNet (Epoch [ 16/210]) --- Loss: 0.634, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 17/210]) --- Loss: 0.631, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 18/210]) --- Loss: 0.629, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 19/210]) --- Loss: 0.628, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 20/210]) --- Loss: 0.626, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 21/210]) --- Loss: 0.625, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 22/210]) --- Loss: 0.623, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 23/210]) --- Loss: 0.622, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 24/210]) --- Loss: 0.620, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 25/210]) --- Loss: 0.619, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 26/210]) --- Loss: 0.617, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 27/210]) --- Loss: 0.616, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 28/210]) --- Loss: 0.615, AUC: 0.76, AP Score: 0.78
Pretraining EPNet (Epoch [ 29/210]) --- Loss: 0.614, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 30/210]) --- Loss: 0.613, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 31/210]) --- Loss: 0.611, AUC: 0.76, AP Score: 0.79
Pretraining EPNet (Epoch [ 32/210]) --- Loss: 0.609, AUC: 0.77, AP Score: 0.79
Pretraining EPNet (Epoch [ 33/210]) --- Loss: 0.607, AUC: 0.77, AP Score: 0.79
Pretraining EPNet (Epoch [ 34/210]) --- Loss: 0.604, AUC: 0.77, AP Score: 0.80
Pretraining EPNet (Epoch [ 35/210]) --- Loss: 0.602, AUC: 0.78, AP Score: 0.80
Pretraining EPNet (Epoch [ 36/210]) --- Loss: 0.600, AUC: 0.78, AP Score: 0.80
Pretraining EPNet (Epoch [ 37/210]) --- Loss: 0.598, AUC: 0.78, AP Score: 0.81
Pretraining EPNet (Epoch [ 38/210]) --- Loss: 0.597, AUC: 0.79, AP Score: 0.81
