
Pretraining EPNet (Epoch [  1/65]) --- Loss: 0.691, AUC: 0.69, AP Score: 0.63
Pretraining EPNet (Epoch [  2/65]) --- Loss: 0.685, AUC: 0.77, AP Score: 0.73
Pretraining EPNet (Epoch [  3/65]) --- Loss: 0.676, AUC: 0.79, AP Score: 0.78
Pretraining EPNet (Epoch [  4/65]) --- Loss: 0.663, AUC: 0.80, AP Score: 0.79
Pretraining EPNet (Epoch [  5/65]) --- Loss: 0.648, AUC: 0.80, AP Score: 0.80
Pretraining EPNet (Epoch [  6/65]) --- Loss: 0.634, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  7/65]) --- Loss: 0.627, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  8/65]) --- Loss: 0.630, AUC: 0.79, AP Score: 0.80
Pretraining EPNet (Epoch [  9/65]) --- Loss: 0.634, AUC: 0.79, AP Score: 0.81
Pretraining EPNet (Epoch [ 10/65]) --- Loss: 0.632, AUC: 0.80, AP Score: 0.81
Pretraining EPNet (Epoch [ 11/65]) --- Loss: 0.626, AUC: 0.80, AP Score: 0.81
Pretraining EPNet (Epoch [ 12/65]) --- Loss: 0.621, AUC: 0.80, AP Score: 0.82
Pretraining EPNet (Epoch [ 13/65]) --- Loss: 0.618, AUC: 0.81, AP Score: 0.82
Pretraining EPNet (Epoch [ 14/65]) --- Loss: 0.618, AUC: 0.81, AP Score: 0.82
Pretraining EPNet (Epoch [ 15/65]) --- Loss: 0.619, AUC: 0.81, AP Score: 0.82
Pretraining EPNet (Epoch [ 16/65]) --- Loss: 0.620, AUC: 0.82, AP Score: 0.82
Pretraining EPNet (Epoch [ 17/65]) --- Loss: 0.619, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 18/65]) --- Loss: 0.618, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 19/65]) --- Loss: 0.616, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 20/65]) --- Loss: 0.615, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 21/65]) --- Loss: 0.614, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 22/65]) --- Loss: 0.614, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 23/65]) --- Loss: 0.614, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 24/65]) --- Loss: 0.614, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 25/65]) --- Loss: 0.614, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 26/65]) --- Loss: 0.613, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 27/65]) --- Loss: 0.612, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 28/65]) --- Loss: 0.611, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 29/65]) --- Loss: 0.611, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 30/65]) --- Loss: 0.611, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 31/65]) --- Loss: 0.611, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 32/65]) --- Loss: 0.611, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 33/65]) --- Loss: 0.611, AUC: 0.82, AP Score: 0.83
Pretraining EPNet (Epoch [ 34/65]) --- Loss: 0.610, AUC: 0.82, AP Score: 0.84
Pretraining EPNet (Epoch [ 35/65]) --- Loss: 0.610, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 36/65]) --- Loss: 0.610, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 37/65]) --- Loss: 0.609, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 38/65]) --- Loss: 0.609, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 39/65]) --- Loss: 0.609, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 40/65]) --- Loss: 0.609, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 41/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 42/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 43/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 44/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 45/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 46/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 47/65]) --- Loss: 0.608, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 48/65]) --- Loss: 0.607, AUC: 0.83, AP Score: 0.84
Pretraining EPNet (Epoch [ 49/65]) --- Loss: 0.607, AUC: 0.83, AP Score: 0.85
Pretraining EPNet (Epoch [ 50/65]) --- Loss: 0.607, AUC: 0.83, AP Score: 0.85
Pretraining EPNet (Epoch [ 51/65]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 52/65]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 53/65]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 54/65]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 55/65]) --- Loss: 0.607, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 56/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 57/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 58/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 59/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 60/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 61/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 62/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 63/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 64/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining EPNet (Epoch [ 65/65]) --- Loss: 0.606, AUC: 0.84, AP Score: 0.85
Pretraining NCNet (Epoch [  1/155]) --- Loss: 1.662, Val Acc: 0.35
Pretraining NCNet (Epoch [  2/155]) --- Loss: 1.285, Val Acc: 0.35
Pretraining NCNet (Epoch [  3/155]) --- Loss: 0.901, Val Acc: 0.36
Pretraining NCNet (Epoch [  4/155]) --- Loss: 0.739, Val Acc: 0.37
Pretraining NCNet (Epoch [  5/155]) --- Loss: 0.720, Val Acc: 0.37
Pretraining NCNet (Epoch [  6/155]) --- Loss: 0.714, Val Acc: 0.37
Pretraining NCNet (Epoch [  7/155]) --- Loss: 0.705, Val Acc: 0.37
Pretraining NCNet (Epoch [  8/155]) --- Loss: 0.705, Val Acc: 0.37
Pretraining NCNet (Epoch [  9/155]) --- Loss: 0.698, Val Acc: 0.37
Pretraining NCNet (Epoch [ 10/155]) --- Loss: 0.694, Val Acc: 0.37
Pretraining NCNet (Epoch [ 11/155]) --- Loss: 0.692, Val Acc: 0.37
Pretraining NCNet (Epoch [ 12/155]) --- Loss: 0.693, Val Acc: 0.37
Pretraining NCNet (Epoch [ 13/155]) --- Loss: 0.689, Val Acc: 0.37
Pretraining NCNet (Epoch [ 14/155]) --- Loss: 0.686, Val Acc: 0.37
Pretraining NCNet (Epoch [ 15/155]) --- Loss: 0.680, Val Acc: 0.37
Pretraining NCNet (Epoch [ 16/155]) --- Loss: 0.677, Val Acc: 0.37
Pretraining NCNet (Epoch [ 17/155]) --- Loss: 0.675, Val Acc: 0.37
Pretraining NCNet (Epoch [ 18/155]) --- Loss: 0.675, Val Acc: 0.37
Pretraining NCNet (Epoch [ 19/155]) --- Loss: 0.667, Val Acc: 0.37
Pretraining NCNet (Epoch [ 20/155]) --- Loss: 0.667, Val Acc: 0.38
Pretraining NCNet (Epoch [ 21/155]) --- Loss: 0.664, Val Acc: 0.38
Pretraining NCNet (Epoch [ 22/155]) --- Loss: 0.661, Val Acc: 0.38
Pretraining NCNet (Epoch [ 23/155]) --- Loss: 0.657, Val Acc: 0.38
Pretraining NCNet (Epoch [ 24/155]) --- Loss: 0.654, Val Acc: 0.38
Pretraining NCNet (Epoch [ 25/155]) --- Loss: 0.654, Val Acc: 0.39
Pretraining NCNet (Epoch [ 26/155]) --- Loss: 0.647, Val Acc: 0.39
Pretraining NCNet (Epoch [ 27/155]) --- Loss: 0.643, Val Acc: 0.38
Pretraining NCNet (Epoch [ 28/155]) --- Loss: 0.642, Val Acc: 0.38
Pretraining NCNet (Epoch [ 29/155]) --- Loss: 0.636, Val Acc: 0.38
Pretraining NCNet (Epoch [ 30/155]) --- Loss: 0.633, Val Acc: 0.39
Pretraining NCNet (Epoch [ 31/155]) --- Loss: 0.631, Val Acc: 0.39
Pretraining NCNet (Epoch [ 32/155]) --- Loss: 0.626, Val Acc: 0.39
Pretraining NCNet (Epoch [ 33/155]) --- Loss: 0.624, Val Acc: 0.39
Pretraining NCNet (Epoch [ 34/155]) --- Loss: 0.620, Val Acc: 0.39
Pretraining NCNet (Epoch [ 35/155]) --- Loss: 0.616, Val Acc: 0.39
Pretraining NCNet (Epoch [ 36/155]) --- Loss: 0.614, Val Acc: 0.39
Pretraining NCNet (Epoch [ 37/155]) --- Loss: 0.608, Val Acc: 0.39
Pretraining NCNet (Epoch [ 38/155]) --- Loss: 0.610, Val Acc: 0.39
Pretraining NCNet (Epoch [ 39/155]) --- Loss: 0.606, Val Acc: 0.38
Pretraining NCNet (Epoch [ 40/155]) --- Loss: 0.604, Val Acc: 0.38
Pretraining NCNet (Epoch [ 41/155]) --- Loss: 0.601, Val Acc: 0.38
Pretraining NCNet (Epoch [ 42/155]) --- Loss: 0.599, Val Acc: 0.38
Pretraining NCNet (Epoch [ 43/155]) --- Loss: 0.594, Val Acc: 0.38
Pretraining NCNet (Epoch [ 44/155]) --- Loss: 0.595, Val Acc: 0.38
Pretraining NCNet (Epoch [ 45/155]) --- Loss: 0.594, Val Acc: 0.38
Pretraining NCNet (Epoch [ 46/155]) --- Loss: 0.592, Val Acc: 0.38
Pretraining NCNet (Epoch [ 47/155]) --- Loss: 0.591, Val Acc: 0.39
Pretraining NCNet (Epoch [ 48/155]) --- Loss: 0.588, Val Acc: 0.39
Pretraining NCNet (Epoch [ 49/155]) --- Loss: 0.586, Val Acc: 0.39
Pretraining NCNet (Epoch [ 50/155]) --- Loss: 0.584, Val Acc: 0.39
Pretraining NCNet (Epoch [ 51/155]) --- Loss: 0.584, Val Acc: 0.39
Pretraining NCNet (Epoch [ 52/155]) --- Loss: 0.585, Val Acc: 0.39
Pretraining NCNet (Epoch [ 53/155]) --- Loss: 0.582, Val Acc: 0.39
Pretraining NCNet (Epoch [ 54/155]) --- Loss: 0.581, Val Acc: 0.39
Pretraining NCNet (Epoch [ 55/155]) --- Loss: 0.581, Val Acc: 0.39
Pretraining NCNet (Epoch [ 56/155]) --- Loss: 0.578, Val Acc: 0.39
Pretraining NCNet (Epoch [ 57/155]) --- Loss: 0.576, Val Acc: 0.39
Pretraining NCNet (Epoch [ 58/155]) --- Loss: 0.577, Val Acc: 0.39
Pretraining NCNet (Epoch [ 59/155]) --- Loss: 0.577, Val Acc: 0.39
Pretraining NCNet (Epoch [ 60/155]) --- Loss: 0.576, Val Acc: 0.39
Pretraining NCNet (Epoch [ 61/155]) --- Loss: 0.574, Val Acc: 0.39
Pretraining NCNet (Epoch [ 62/155]) --- Loss: 0.575, Val Acc: 0.40
Pretraining NCNet (Epoch [ 63/155]) --- Loss: 0.573, Val Acc: 0.40
Pretraining NCNet (Epoch [ 64/155]) --- Loss: 0.571, Val Acc: 0.40
Pretraining NCNet (Epoch [ 65/155]) --- Loss: 0.572, Val Acc: 0.40
Pretraining NCNet (Epoch [ 66/155]) --- Loss: 0.573, Val Acc: 0.40
Pretraining NCNet (Epoch [ 67/155]) --- Loss: 0.574, Val Acc: 0.40
Pretraining NCNet (Epoch [ 68/155]) --- Loss: 0.573, Val Acc: 0.40
Pretraining NCNet (Epoch [ 69/155]) --- Loss: 0.571, Val Acc: 0.40
Pretraining NCNet (Epoch [ 70/155]) --- Loss: 0.574, Val Acc: 0.40
Pretraining NCNet (Epoch [ 71/155]) --- Loss: 0.571, Val Acc: 0.40
Pretraining NCNet (Epoch [ 72/155]) --- Loss: 0.571, Val Acc: 0.40
Pretraining NCNet (Epoch [ 73/155]) --- Loss: 0.573, Val Acc: 0.40
Pretraining NCNet (Epoch [ 74/155]) --- Loss: 0.568, Val Acc: 0.40
Pretraining NCNet (Epoch [ 75/155]) --- Loss: 0.571, Val Acc: 0.40
Pretraining NCNet (Epoch [ 76/155]) --- Loss: 0.573, Val Acc: 0.40
Pretraining NCNet (Epoch [ 77/155]) --- Loss: 0.568, Val Acc: 0.40
Pretraining NCNet (Epoch [ 78/155]) --- Loss: 0.569, Val Acc: 0.40
